restaurantRating,restaurantName,restaurantAddress,restaurantCuisine,restaurantContact,restaurantBusinessHours,restaurantPricing,isHalal
4.9,ParaThai @ Gurney Plaza,"Lot B1-31, Gurney Plaza, Gurney Dr, 10250 George Town, Penang",Thai ,04-412 1388,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",2,Yes
4.4,Blue Chang MODERN THAI CUISINE,"417, Jalan Burma, Pulau Tikus, 10350 George Town, Pulau Pinang",Thai ,010-274 7351,"{'Friday': '12 to 10 pm', 'Saturday': '12 to 10 pm', 'Sunday': '12 to 10 pm', 'Monday': '12 to 10 pm', 'Tuesday': 'Closed', 'Wednesday': '12 to 10 pm', 'Thursday': '12 to 10 pm'}",2,No
4.3,Hana Thai Kitchen,"26, Jalan Moulmein, Pulau Tikus, 10350 George Town, Pulau Pinang",Thai ,04-227 7599,"{'Friday': '11:30 am to 2:30 pm, 5:30 to 9:30 pm', 'Saturday': '11:30 am to 2:30 pm, 5:30 to 9:30 pm', 'Sunday': '11:30 am to 2:30 pm, 5:30 to 9:30 pm', 'Monday': 'Closed', 'Tuesday': '11:30 am to 2:30 pm, 5:30 to 9:30 pm', 'Wednesday': '11:30 am to 2:30 pm, 5:30 to 9:30 pm', 'Thursday': '11:30 am to 2:30 pm, 5:30 to 9:30 pm'}",2,No
3.3,Golden Triangle Thai Cuisine,"Q2, Queens waterfront, 11900 Bayan Lepas, Penang",Thai ,012-475 2575,"{'Friday': '11 am to 3 pm, 5 to 10 pm', 'Saturday': '11 am to 3 pm, 5 to 10 pm', 'Sunday': '11 am to 3 pm, 5 to 10 pm', 'Monday': '11 am to 3 pm, 5 to 10 pm', 'Tuesday': '11 am to 3 pm, 5 to 10 pm', 'Wednesday': '11 am to 3 pm, 5 to 10 pm', 'Thursday': '11 am to 3 pm, 5 to 10 pm'}",2,Yes
4.1,Hameediyah Restaurant,"164 A, Lebuh Campbell, street, 10100 George Town, Pulau Pinang",Indian Muslim ,04-261 1095,"{'Friday': '10 am to 10 pm', 'Saturday': '10 am to 10 pm', 'Sunday': '10 am to 10 pm', 'Monday': '10 am to 10 pm', 'Tuesday': '10 am to 10 pm', 'Wednesday': '10 am to 10 pm', 'Thursday': '10 am to 10 pm'}",2,Yes
4,Restoran Nasi Kandar Line Clear,"Beside 161 & 177 Penang Road, George Town, 10000 George Town, Pulau Pinang",Indian ,04-261 4440,"{'Friday': '8 am to 12 am', 'Saturday': '8 am to 12 am', 'Sunday': '8 am to 12 am', 'Monday': '8 am to 12 am', 'Tuesday': '8 am to 12 am', 'Wednesday': '8 am to 12 am', 'Thursday': '8 am to 12 am'}",1,Yes
4.2,Nasi Kandar Beratur 786@Bayan Lepas,"1-1-11, Summerskye Residence, Jalan Sungai Tiram 8, 11900 Bayan Lepas, Pulau Pinang",Indian Muslim ,04-299 9772,"{'Friday': '9 am to 11 pm', 'Saturday': '9 am to 11 pm', 'Sunday': '9 am to 11 pm', 'Monday': '9 am to 11 pm', 'Tuesday': '9 am to 11 pm', 'Wednesday': '9 am to 11 pm', 'Thursday': '9 am to 11 pm'}",1,Yes
3.8,Nasi Kandar Pelita,"146A, Jln Macalister, George Town, 10400 George Town, Pulau Pinang",Indian Muslim ,04-227 6214,"{'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours'}",1,Yes
3.4,Jaya Catering & Restaurant Sdn Bhd,"349-N, Jalan Sultan Azlan Shah, Taman Tun Sardon, 11700 Gelugor, Pulau Pinang",Indian Muslim ,04-658 1989,"{'Friday': '8 am to 10 pm', 'Saturday': '8 am to 10 pm', 'Sunday': '8 am to 10 pm', 'Monday': '8 am to 10 pm', 'Tuesday': '8 am to 10 pm', 'Wednesday': '8 am to 10 pm', 'Thursday': '8 am to 10 pm'}",1,Yes
4.3,CMR 3.0 China Muslim Restaurant,"70-1-12 D'Piazza Mall, Jalan Mahsuri, Bayan Baru, 11950 Bayan Lepas, Pulau Pinang",Malay ,017-596 1423,"{'Friday': '11 am to 3 pm, 5 to 10 pm', 'Saturday': '10:30 am to 3 pm, 5 to 10 pm', 'Sunday': '11 am to 3 pm, 5 to 10 pm', 'Monday': '11 am to 3 pm, 5 to 10 pm', 'Tuesday': '11 am to 3 pm, 5 to 10 pm', 'Wednesday': '11 am to 3 pm, 5 to 10 pm', 'Thursday': '11 am to 3 pm, 5 to 10 pm'}",2,Yes
